사투리,표준어
연애랑 결혼 강 뭐 이런 얘 주제에 대해서 한 번 얘기 해 볼까?,연애랑 결혼 강 뭐 이런 얘 주제에 대해서 한 번 얘기 해 볼까?
막 이상형 이런거 있잖아.,막 이상형 이런거 있잖아.
니는 이상형이 어떻게 되는데?,너는 이상형이 어떻게 되는데?
나는 어~,나는 어~
나는 성격 성격이 좋은 사람?,나는 성격 성격이 좋은 사람?
뭐라 설명 해야되지 성격이 좋다는게 그러니까 약간,뭐라 설명 해야되지 성격이 좋다는게 그러니까 약간
욱하고 다혈질인 사람이 너무 싫어.,욱하고 다혈질인 사람이 너무 싫어.
일단 그거 그리고,일단 그거 그리고
어~ 배려할 줄 알고 하여튼 약간 차분한 성격 있잖아.,어~ 배려할 줄 알고 하여튼 약간 차분한 성격 있잖아.
막 성격 급하고 뭐 이런거 말고 차분하고,막 성격 급하고 뭐 이런거 말고 차분하고
그리고 어~ 웃는게 이뻤으면 좋겠고,그리고 어~ 웃는게 이뻤으면 좋겠고
어~ 그냥 뭐 어~ 계속 얘기해 봐.,어~ 그냥 뭐 어~ 계속 얘기해 봐.
그리고 어~ 좀 약간,그리고 어~ 좀 약간
양보할 줄 알고 막 어른들한테 예의 바르고,양보할 줄 알고 막 어른들한테 예의 바르고
그냥 이런 전체적인 성격 있잖아.,그냥 이런 전체적인 성격 있잖아.
응.,응.
그런 성격 그냥,그런 성격 그냥
솔직히 나쁜 성격을 좋아하는 사람이 있나?,솔직히 나쁜 성격을 좋아하는 사람이 있어?
나쁜 성격을 좋아하는 사람은 없지만 그래도 약간 화 잘 내고 이런 사람 있잖아.,나쁜 성격을 좋아하는 사람은 없지만 그래도 약간 화 잘 내고 이런 사람 있잖아.
오케 그러면 또 따른 따른 부분은?,오케 그러면 또 다른 다른 부분은?
어 따른 부분은 음~ 지금은,어 다른 부분은 음~ 지금은
음~ 나는 근데 뭐 키 같은거는 그렇게 안 보거든,음~ 나는 근데 뭐 키 같은거는 그렇게 안 보거든
나는 진짜 무슨 얼굴 이런것도 안 본다.,나는 진짜 무슨 얼굴 이런것도 안 본다.
난 진짜 얼굴 안 보고 진짜 성격이 거의,난 진짜 얼굴 안 보고 진짜 성격이 거의
어~ 십중에 팔?,어~ 십중에 팔?
이는 그래도 같이 다니기 창피하지 않은 정도?,이는 그래도 같이 다니기 창피하지 않은 정도?
너는 생 생겼으면 좋겠다.,너는 생 생겼으면 좋겠다.
아 그리고 나는 약간 스타일이 좋았으면 좋겠어.,아 그리고 나는 약간 스타일이 좋았으면 좋겠어.
어 뭐 다는가 머리를 손질을 잘한다던가 뭐 이런거?,어 뭐 다는가 머리를 손질을 잘한다던가 뭐 이런거?
어 막 약간 뭐 뿔테 안경 뭐 있잖아 진짜 옛날 뿔테 안경 알지?,어 막 약간 뭐 뿔테 안경 뭐 있잖아 진짜 옛날 뿔테 안경 알지?
