사투리,표준어
나는 드라마 진짜 좋아하거든?,나는 드라마 진짜 좋아하거든?
근데 나는 영화는 잘 안 본단 말야?,근데 나는 영화는 잘 안 본단 말야?
근데 드라마는 진짜 많이 봐 나는,근데 드라마는 진짜 많이 봐 나는
어릴 때부터 드라마 진짜 삼 사 방송 삼 사거 다 보고,어릴 때부터 드라마 진짜 삼 사 방송 삼 사거 다 보고
고 삼 때도 나는 드라마 봤단 말야?,고 삼 때도 나는 드라마 봤단 말야?
그래서 나는 진짜 드라마 진짜 좋아하는데,그래서 나는 진짜 드라마 진짜 좋아하는데
내가 요즘 다시 보고 싶다 다시 보고 싶다는 아니지,내가 요즘 다시 보고 싶다 다시 보고 싶다는 아니지
아~ 엔 예전엔 안 봤는데 지금 보고 싶다고 한 게 그~ 커피프린스?,아~ 엔 예전엔 안 봤는데 지금 보고 싶다고 한 게 그~ 커피프린스?
그게 요즘 뜨는 거야 그래서 그거,그게 요즘 뜨는 거야 그래서 그거
그거 막 다시 보고 싶고,그거 막 다시 보고 싶고
근데 요즘엔 딱히  지금은 보는 드라마가 없어서 쫌,근데 요즘엔 딱히  지금은 보는 드라마가 없어서 조금
그렇긴 한데 요즘에 엔 딱히 보고싶은 드라마가 없는데,그렇긴 한데 요즘에 엔 딱히 보고싶은 드라마가 없는데
옛날 드라마 약간 다시 보고 막 그런 거?,옛날 드라마 약간 다시 보고 막 그런 거?
그런거 막 요즘 보고있음 막 유투브 같은데 다시 보여주기 이런거,그런거 막 요즘 보고있음 막 유투브 같은데 다시 보여주기 이런거
이런거 막 보고있어.,이런거 막 보고있어.
니 니는 드라마 많이 보나?,너 너는 드라마 많이 보니?
아~ 드라마 꽤나 봤었거든?,아~ 드라마 꽤나 봤었거든?
근데 내가 약간 꾸준히,근데 내가 약간 꾸준히
뭘 계속 못 봐 성격이,뭘 계속 못 봐 성격이
집중력이 너무 부족해서 그런지,집중력이 너무 부족해서 그런지
그래도 그나마 최근에 봤던 드라마가,그래도 그나마 최근에 봤던 드라마가
전소민하고,전소민하고
고건 나중에 말해줄게 그래서 그걸 최근에 봤었고,그건 나중에 말해줄게 그래서 그걸 최근에 봤었고
그리고 난 드라마 같은 거 보면 무조건 그 사람들하고,그리고 난 드라마 같은 거 보면 무조건 그 사람들하고
막 그거를 해 대입을 시켜서 나를 대입시켜서,막 그거를 해 대입을 시켜서 나를 대입시켜서
무조건 따라 해,무조건 따라 해
그래서 태양의 후예를 고 일 때 너무 재밌게 봤단 말야.,그래서 태양의 후예를 고 일 때 너무 재밌게 봤단 말야.
그래서  이랑,그래서  이랑
가 송혜교 역할을 맡고 내가 이제 송중기 역할을 맡았지.,가 송혜교 역할을 맡고 내가 이제 송중기 역할을 맡았지.
내가 그때 머리를 좀 밀었었거든.,내가 그때 머리를 좀 밀었었거든.
그래서,그래서
딱 뭐~ 문지방을 딱 뒤져 그럼 그~ 지뢰 밟는 장면이 니가 기억날지 모르겠는데,딱 뭐~ 문지방을 딱 뒤져 그럼 그~ 지뢰 밟는 장면이 너가 기억날지 모르겠는데
뭐~ 강모연 강모연  무 뭐라 뭐라 하면서,뭐~ 강모연 강모연  무 뭐라 뭐라 하면서
지뢰 밟았다고 해체해준다 맨날 그러고 놀았지.,지뢰 밟았다고 해체해준다 맨날 그렇게 놀았지.
그리고 꽤나 지금 뭐~,그리고 꽤나 지금 뭐~
드라마나,드라마나
그~ 드라마 중에 그~ 응칠?,그~ 드라마 중에 그~ 응칠?
응칠 맞지 응칠 같은 경우에는,응칠 맞지 응칠 같은 경우에는
서연국이 그거 정은지한테  딱 대주면서,서연국이 그거 정은지한테  딱 대주면서
탁 말을 하잖아,탁 말을 하잖아
고백 받았다고 하면서 사귀지 마까.,고백 받았다고 하면서 사귀지 말까.
이렇게 딱 말하는 거야 그때 아~ 그때 딱,이렇게 딱 말하는 거야 그때 아~ 그때 딱
와 이거는 이게 바로 갱상도 남자구나.,와 이거는 이게 바로 경상도 남자구나.
나는 이런 남자가 되겠다면서,나는 이런 남자가 되겠다면서
하지마까 하지마까 이걸 내가,하지말까 하지말까 이걸 내가
니가 몰랐을 수도 있는데 고 삼 때 꽤나 많이 하고 다녔거든?,너가 몰랐을 수도 있는데 고 삼 때 꽤나 많이 하고 다녔거든?
딱 주고 내 하지마까 이카면,딱 주고 나 하지말까 이렇게하면
그랬던 기억이 있기도 하고,그랬던 기억이 있기도 하고
인생작은 좀 이따 말해줄게 니 인생작 있나?,인생작은 좀 있다가 말해줄게 너 인생작 있니?
어~ 나 인생작이 있는데 니 진짜 드라마 너무 과몰입 하는거 아니야?,어~ 나 인생작이 있는데 너 진짜 드라마 너무 과몰입 하는거 아니야?
진짜 너무 소름이 돋는다 진짜,진짜 너무 소름이 돋는다 진짜
나는 그렇게 따라하고 막 그러진 않거든?,나는 그렇게 따라하고 막 그러진 않거든?
그냥 보는?,그냥 보는?
나는,나는
일단 내 가장 인생작을 뽑으라면 나는 해를품은달,일단 내 가장 인생작을 뽑으라면 나는 해를품은달
그건 진짜 많이 봤거든.,그건 진짜 많이 봤거든.
그건 처음 볼때도 좀 그냥 계속 챙겨봤고,그건 처음 볼때도 좀 그냥 계속 챙겨봤고
다시 돌려보고 돌려보고 책도 읽고 막 그랬단 말야?,다시 돌려보고 돌려보고 책도 읽고 막 그랬단 말야?
그때 봤는데 그게 가장 내 가장 인생작인 것 같고,그때 봤는데 그게 가장 내 가장 인생작인 것 같고
요즘 제일 많이 돌려본 거는,요즘 제일 많이 돌려본 거는
도깨비를 진짜 많이 둘러봤어.,도깨비를 진짜 많이 둘러봤어.
도깨비 지금 끝난 지가 거의 한 사오 년이 됐을텐데,도깨비 지금 끝난 지가 거의 한 사오 년이 됐을텐데
근데 아직도 유튜브 클립이 있단 말야.,근데 아직도 유튜브 클립이 있단 말야.
도깨비 그런거 보 나오는거 보고,도깨비 그런거 보 나오는거 보고
그러고 도깨비가 너무,그리고 도깨비가 너무
뭐라 해야지 잘 만들어져가지고,뭐라 해야지 잘 만들어져가지고
약간 요즘 딴 드라마를 보면 뭔가 아~ 좀 유치하고 약간 이런거,약간 요즘 다른 드라마를 보면 뭔가 아~ 좀 유치하고 약간 이런거
아~ 유치하거나 아니면 좀 개연성 떨어지고 이러면 못 보겠는거야.,아~ 유치하거나 아니면 좀 개연성 떨어지고 이러면 못 보겠는거야.
그런 이전의 도깨비 이런거에 막 눈이 높아져가지구,그런 이전의 도깨비 이런거에 막 눈이 높아져가지구
그~ 요즘 옛날에,그~ 요즘 옛날에
보다가 막 만거 막 미스터 션샤인 이런 것도 다시 돌려본단 말야.,보다가 막 만거 막 미스터 션샤인 이런 것도 다시 돌려본단 말야.
그런 거 보면 너무 그냥 드라마,그런 거 보면 너무 그냥 드라마
그래서 그런 쪽에 드라마 저 진짜 개연성 있고 만약에 그런 판타지는 아니며 아예 그런 역사 사극 이런거 할거면 진짜 개연성있고 이런거?,그래서 그런 쪽에 드라마 저 진짜 개연성 있고 만약에 그런 판타지는 아니며 아예 그런 역사 사극 이런거 할거면 진짜 개연성있고 이런거?
그리고 아~ 그것도 재밌어 그~ 멜로가 체질?,그리고 아~ 그것도 재밌어 그~ 멜로가 체질?
그걸 내가 한 삼 일 만에 다 봤거든?,그걸 내가 한 삼 일 만에 다 봤거든?
그거보면 진짜 엄청 막 울기도 하고 막,그거보면 진짜 엄청 막 울기도 하고 막
그랬단 말이야 근데 그거 진짜 보기 좋은 것 같애 멜로가 체질,그랬단 말이야 근데 그거 진짜 보기 좋은 것 같애 멜로가 체질
그까 그런 류의 일상극인데 뭔가,그러니까 그런 류의 일상극인데 뭔가
메세지 있는 그리고 너무 말이 재밌잖아 약간 그런거 좋아.,메세지 있는 그리고 너무 말이 재밌잖아 약간 그런거 좋아.
에는 난 별로였어.,에는 난 별로였어.
도깨비가 인생작이라고 했잖아.,도깨비가 인생작이라고 했잖아.
솔직히,솔직히
이런,이런
잘 안하지만 이동욱과 나하고 비슷한  많지 않을까라는,잘 안하지만 이동욱과 나하고 비슷한  많지 않을까라는
그런 망언을 하면 안 되지 라고 한 생각을 해.,그런 망언을 하면 안 되지 라고 한 생각을 해.
그~ 친구가 말해줬는데,그~ 친구가 말해줬는데
이동욱하고 공유가 이렇게 찍는 걸 봤대.,이동욱하고 공유가 이렇게 찍는 걸 봤대.
근데 딱 드라마 같은 거  공유가 되게 머리 작게 나오잖아.,근데 딱 드라마 같은 거  공유가 되게 머리 작게 나오잖아.
디 실제로 이동욱이 진짜 공유보다 그렇게 작대 얼굴하고 머리가,디 실제로 이동욱이 진짜 공유보다 그렇게 작대 얼굴하고 머리가
그랬고,그랬고
나의 인생작을 말해보자면 이번 생은 처음이라,나의 인생작을 말해보자면 이번 생은 처음이라
그건데,그건데
그때 내가 또 또 시에 빠졌어.,그때 내가 또 또 시에 빠졌어.
이때 진짜 과몰입을 심하게 했거든 그래서,이때 진짜 과몰입을 심하게 했거든 그래서
시집을 샀던 것 같거든 그래서,시집을 샀던 것 같거든 그래서
그때는 한참 많이 외우고 다녔는데 지금은 까먹었던게,그때는 한참 많이 외우고 다녔는데 지금은 까먹었던게
뭐~ 사랑이 온다는 건 실로 어마어마한 일이다 이러면서,뭐~ 사랑이 온다는 건 실로 어마어마한 일이다 이러면서
그 사람의 생애도 옳은 것이다 탁 하는데 그때 감동을 탁 받은 거야.,그 사람의 생애도 옳은 것이다 탁 하는데 그때 감동을 탁 받은 거야.
그때 그래서 내가 분하게 꿈을 키우고자 했었지 한때.,그때 그래서 내가 분하게 꿈을 키우고자 했었지 한때.
그러고 또 다른 드라마로는,그리고 또 다른 드라마로는
도깨비 나도 도깨비 봤지.,도깨비 나도 도깨비 봤지.
도깨비 보는데 공유가 너무 잘생긴 거야.,도깨비 보는데 공유가 너무 잘생긴 거야.
그서 막 가르마 펌도 따라할려고 했지.,그래서 막 가르마 펌도 따라할려고 했지.
그런데 머리가 짧아서 안 되대?,그런데 머리가 짧아서 안 되더라?
그래서 아~ 포기했고,그래서 아~ 포기했고
그~ 공유가 롱 가디건 입었었잖아.,그~ 공유가 롱 가디건 입었었잖아.
나 그~ 키도 쪼매난데 그 때 하필 거기에 꽂혀서 롱 가디건에 그렇게 살려고 했단 말야.,나 그~ 키도 작은데 그 때 하필 거기에 꽂혀서 롱 가디건에 그렇게 살려고 했단 말야.
그  하고 친구들 하고 다 말리데?,그  하고 친구들 하고 다 말리데?
그서 결국 안 사긴 했는데,그래서 결국 안 사긴 했는데
지금도 약간 샀으면 어땠을까 생각도 하는데,지금도 약간 샀으면 어땠을까 생각도 하는데
딴 친구들 입은거 보니까 안사는게  같기도 하고.,다른 친구들 입은거 보니까 안사는게  같기도 하고.
그래서 드라마 같은 경우에는,그래서 드라마 같은 경우에는
로맨스물 진짜 나 좋아하는 거 같고,로맨스물 진짜 나 좋아하는 거 같고
과몰입하는것 같다라는 생각을 해.,과몰입하는것 같다라는 생각을 해.
닌 드라마 보면 약간 몰입 같은 거 안하나?,닌 드라마 보면 약간 몰입 같은 거 안하니?
아니 몰입을 하지 몰입은 하는데,아니 몰입을 하지 몰입은 하는데
그렇게 현실에 가져오진 않아 나는,그렇게 현실에 가져오진 않아 나는
난 나도 로맨스 진짜 좋아하거든 로맨스,난 나도 로맨스 진짜 좋아하거든 로맨스
영화 같은 것도 영화는 내 잘 안 보긴 하지만  로맨스 이런거 보고,영화 같은 것도 영화는 난 잘 안 보긴 하지만  로맨스 이런거 보고
아니면,아니면
약간 아~ 근데 약간,약간 아~ 근데 약간
스릴러는 아니고,스릴러는 아니고
무슨 뭐~ 스릴러는 아니지만 이렇게 뭔가 사건이 있는,무슨 뭐~ 스릴러는 아니지만 이렇게 뭔가 사건이 있는
그런 것 좀 보기도 하고 그런데 그런건 무섭잖아.,그런 것 좀 보기도 하고 그런데 그런건 무섭잖아.
나 혼자 볼 수 없으니까 그런 거 가끔 보고?,나 혼자 볼 수 없으니까 그런 거 가끔 보고?
근데 아마 로맨 그~ 사극도 좋아.,근데 아마 로맨 그~ 사극도 좋아.
좋아해 사극도 많이 보고 로맨스 아니면 사극.,좋아해 사극도 많이 보고 로맨스 아니면 사극.
그~ 아니면 판타지도 괜찮은 거 같더라.,그~ 아니면 판타지도 괜찮은 거 같더라.
그래서 그런 거 보고.,그래서 그런 거 보고.
그~ 이번생은 처음이라서 그것도,그~ 이번생은 처음이라서 그것도
그 때 아~ 무슨 따른 따른 드라마랑 같은 동시간대여가지고 막 그랬던 것 같은데 그래서 거,그 때 아~ 무슨 다른 다른 드라마랑 같은 동시간대여가지고 막 그랬던 것 같은데 그래서 거
어~ 우리 반에 세 명만 보고 막 그랬던 거 같은데,어~ 우리 반에 세 명만 보고 막 그랬던 거 같은데
나도 그거 봤단 말야?,나도 그거 봤단 말야?
그것도 진짜 좋았 그거랑 약간 멜로가 체질이랑 그걸 약간 뭐랄까 결이 비슷하다 해야되나?,그것도 진짜 좋았 그거랑 약간 멜로가 체질이랑 그걸 약간 뭐랄까 결이 비슷하다 해야되나?
에~ 일상극인데 뭔가 그런 비슷한 느낌?,에~ 일상극인데 뭔가 그런 비슷한 느낌?
막 그런거 있고.,막 그런거 있고.
약간 좋긴 한데 약간 딱 그런 거 같애 그 드라마 보면,약간 좋긴 한데 약간 딱 그런 거 같애 그 드라마 보면
남자주인공이 여자주인공 있잖아 그러면,남자주인공이 여자주인공 있잖아 그러면
난 왜 여자니까 뭐~ 여자 주인공에게 이입을 하겠지?,난 왜 여자니까 뭐~ 여자 주인공에게 이입을 하겠지?
그러면 그때 남자주인공이 만약에 마음에 들잖아 그러면 그~,그러면 그때 남자주인공이 만약에 마음에 들잖아 그러면 그~
드라마를 보는 당시에는 그 주인 그 연예인을 좋아해.,드라마를 보는 당시에는 그 주인 그 연예인을 좋아해.
그러다가  또 다른 드라마를 봐,그러다가  또 다른 드라마를 봐
그럼 또 그 남자주인공이 마음에 들면 또 좋아하는 연예인 바껴 막,그럼 또 그 남자주인공이 마음에 들면 또 좋아하는 연예인 바뀌어 막
약간 요론 요론 이런 쪽으로 몰입을 하지,약간 요런 요런 이런 쪽으로 몰입을 하지
그렇게 막 따라하고 막 그렇진 않아,그렇게 막 따라하고 막 그렇진 않아
그거랑 내가 이건 안 봤는데,그거랑 내가 이건 안 봤는데
그~ 유투브 클립으로 이렇게 모아둔 거 봤거든?,그~ 유투브 클립으로 이렇게 모아둔 거 봤거든?
연애의 발견이라고 에릭이랑 정유미 나온거?,연애의 발견이라고 에릭이랑 정유미 나온거?
그걸 봤는데 옛날에는 옛날에 그~ 내용은 알고 있었어.,그걸 봤는데 옛날에는 옛날에 그~ 내용은 알고 있었어.
너무 이상한 거야,너무 이상한 거야
약간 사귀고 헤어지고 뭐~ 그랬는데 왜 전남친을 만나면 이게 이해가 안 되는 거야 진짜,약간 사귀고 헤어지고 뭐~ 그랬는데 왜 전남친을 만나면 이게 이해가 안 되는 거야 진짜
다 이상한 거 같은 거야 남자주인 여자 주인공이,다 이상한 거 같은 거야 남자주인 여자 주인공이
내 요새 다시 보는데 진짜 너무,나 요새 다시 보는데 진짜 너무
뭐라 해야 되지?,뭐라 해야 되지?
