사투리,표준어
혹시 뭐~ 니가,혹시 뭐~ 네가
살아오거나 뭐~ 그러면서,살아오거나 뭐~ 그러면서
뭐~ 하나쯤이나 뭐~ 자격증을 따놓은 거나,뭐~ 하나쯤이나 뭐~ 자격증을 따놓은 거나
아니면 니가 지금 준비하고 있는,아니면 네가 지금 준비하고 있는
자격증 같은 거라던가 그런 게 혹시 있나,자격증 같은 거라던가 그런 게 혹시 있나
난 지금 하고 있는 거는 지금 기사따고 있거든,난 지금 하고 있는 거는 지금 기사따고 있거든
지금 기사따고 있는데 아~ 참 내가,지금 기사따고 있는데 아~ 참 내가
내가 배운 거지만은 쪼끔,내가 배운 거지만은 쪼끔
아니 어떻게 보면 내가 학과랑 쪼금 다르긴 한데 전기 그거라,아니 어떻게 보면 내가 학과랑 쪼금 다르긴 한데 전기 그거라
아~ 전기기사를 빨리 이~ 올해 처음으로 기사를 준비하는데,아~ 전기기사를 빨리 이~ 올해 처음으로 기사를 준비하는데
참 남들은 다 땄다 하는데 이게,참 남들은 다 땄다 하는데 이게
참 쉽진 않더라고 이~ 내강 뭐~ 맞는 잘 맞는 것도 아이고,참 쉽진 않더라고 이~ 나랑 뭐~ 맞는 잘 맞는 것도 아니고
그래도 뭐~ 먹고 살려면은 하나쯤은 있는 게 어떨까 싶어서 지금 따고 있거든,그래도 뭐~ 먹고 살려면은 하나쯤은 있는 게 어떨까 싶어서 지금 따고 있거든
아~ 그랬는데 이~ 긴 기사가 참,아~ 그랬는데 이~ 긴 기사가 참
애매한 게 이~ 문제 은행식이란 말이야.,애매한 게 이~ 문제 은행식이란 말이야.
그래서 문제를 계속 푸는데,그래서 문제를 계속 푸는데
아이 이놈의 문제 문제를 이사람들이 그니까,아이 이놈의 문제 문제를 이사람들이 그러니까
상식적으로 보면은 내게 사 년 동안 공부해서 풀 수 있는  문제긴 한데,상식적으로 보면은 내게 사 년 동안 공부해서 풀 수 있는  문제긴 한데
그 시간 안에 못 맞출 거 같애  이상태보면은 근데 이게,그 시간 안에 못 맞출 거 같애  이상태보면은 근데 이게
문제 은행이다 보니까 사람들이 이걸 다 알고 있다는 가정 하에서 문제의 난이도를 설정하니까 하니까,문제 은행이다 보니까 사람들이 이걸 다 알고 있다는 가정 하에서 문제의 난이도를 설정하니까 하니까
참 이게 문제를 어떻게 보면 반쯤은 외우더 그니까 쪼곰,참 이게 문제를 어떻게 보면 반쯤은 외우더 그러니까 쪼곰
그냥 하면서 뭐~ 회의감이 든다 이렇게,그냥 하면서 뭐~ 회의감이 든다 이렇게
이걸 해서 뭐~ 먹고 살기보다는 그니까,이걸 해서 뭐~ 먹고 살기보다는 그러니까
실제적인 나의 지식 함량에 있어서 그렇는 거보다는,실제적인 나의 지식 함량에 있어서 그렇는 거보다는
단순히 그냥 자격요건을 요구하는 느낌이 그런 게,단순히 그냥 자격요건을 요구하는 느낌이 그런 게
그래서 살짝 아~ 이거 하면서 아~ 이런 뭐~ 단순한,그래서 살짝 아~ 이거 하면서 아~ 이런 뭐~ 단순한
암기 같은 거를 해야 하나 싶기도 하고 뭐~ 뭐~,암기 같은 거를 해야 하나 싶기도 하고 뭐~ 뭐~
몇천 문제 같은 거 계속 외우가 해야 싶기도 하고 계속,몇천 문제 같은 거 계속 외우가 해야 싶기도 하고 계속
막 회의감이 들더라고 그래서 난 지금 그거하고 있고 니는 뭐~ 지금 준비하거나 준비하거나 하는 거 있나,막 회의감이 들더라고 그래서 난 지금 그거하고 있고 너는 뭐~ 지금 준비하거나 준비하거나 하는 거 있나
나는 이제 자격증을 지금은,나는 이제 자격증을 지금은
따로 준비하고 있는 건 없어 근데 뭐~ 회사 다닌다고 내가 얘기했었잖아.,따로 준비하고 있는 건 없어 근데 뭐~ 회사 다닌다고 내가 얘기했었잖아.
회사 다닐 때도 그냥 거기에 맞는,회사 다닐 때도 그냥 거기에 맞는
내 일을 쫌 더 잘할 수 있는 그런 거를 내가 따보고 싶더라고,내 일을 조금 더 잘할 수 있는 그런 거를 내가 따보고 싶더라고
그래서 내가 해 본 게,그래서 내가 해 본 게
뭐~ 내가 승강기 쪽 회사를 다녔었는데,뭐~ 내가 승강기 쪽 회사를 다녔었는데
그냥 그쪽에만 내 자격증을 일단 여러 개를 따봤어.,그냥 그쪽에만 내 자격증을 일단 여러 개를 따봤어.
뭐~ 승강기 기능사라든가 아니면 뭐~,뭐~ 승강기 기능사라든가 아니면 뭐~
그쪽에 맞는 어차피 워드 작업도 해야 되니까 컴활부터 해가지고 그런 거를 한번 해 봤었단 말이야.,그쪽에 맞는 어차피 워드 작업도 해야 되니까 컴활부터 해가지고 그런 거를 한번 해 봤었단 말이야.
그~ 내가 솔직히 뭐~ 고등학교 초반 때에 공부를 한 적이 없어.,그~ 내가 솔직히 뭐~ 고등학교 초반 때에 공부를 한 적이 없어.
나도 뭐~ 굳이 공부랑 그런 연관이,나도 뭐~ 굳이 공부랑 그런 연관이
벼 별로 관심도 없었고 그때는,벼 별로 관심도 없었고 그때는
어린 마음도 있었고 그랬는데,어린 마음도 있었고 그랬는데
근데 지금 보니까 니가 지금 전기기사 준비한다고 했잖아.,근데 지금 보니까 네가 지금 전기기사 준비한다고 했잖아.
한다는 게 나는 진짜 멋지고 진짜 부럽기도 하다.,한다는 게 나는 진짜 멋지고 진짜 부럽기도 하다.
벌써 이 나이 때부터 이런 기사 준비 자격증하는 거는,벌써 이 나이 때부터 이런 기사 준비 자격증하는 거는
힘들 거거든 진짜 니가 하는 데 뭐~ 회의감도 들고 했다 했잖아.,힘들 거거든 진짜 네가 하는 데 뭐~ 회의감도 들고 했다 했잖아.
그런 거 하는 거 보면 진짜 나 대단하다고 생각해,그런 거 하는 거 보면 진짜 나 대단하다고 생각해
뭐~ 이런 게 뭐~ 첫 도전으로 하는 건데,뭐~ 이런 게 뭐~ 첫 도전으로 하는 건데
이렇게 어려운 유튜브 보면은 그런 거 있잖아 뭐~,이렇게 어려운 유튜브 보면은 그런 거 있잖아 뭐~
아저씨들이 전기기사 해가지고 막 내 몇개 봤는데,아저씨들이 전기기사 해가지고 막 내 몇개 봤는데
